"identifier"	"AA"	"AN"	"AT"	"IM"	"Noam"	"NT"	"OC"	"PA"
"1"	"Absolmsia spartiodes Kuntze"	0	0	0	1	0	0	0	0
"2"	"Acerates Elliott"	0	0	0	0	8	0	0	0
"3"	"Acokanthera G.Don"	0	0	4	0	0	0	0	0
"4"	"Acokanthera oblongifolia (Hochst.) Codd"	0	0	7	0	0	0	0	6
"5"	"Acokanthera oppositifolia (Lam.) Codd"	0	0	97	0	0	0	0	0
"6"	"Acokanthera rotundata (Codd) Kupicha"	0	0	23	0	0	0	0	0
"7"	"Acokanthera schimperi Oliv."	0	0	50	0	0	0	4	0
"8"	"Acokanthera spectabilis Hook.f."	0	0	0	0	0	0	0	3
"9"	"Acokanthera venenata G.Don"	0	0	0	0	0	0	0	3
"10"	"Acranthera Arn. ex Meisn."	0	0	0	22	0	0	0	0
"11"	"Acranthera frutescens Valeton"	0	0	0	1	0	0	0	0
"12"	"Acranthera involucrata Valeton"	0	0	0	1	0	0	0	0
"13"	"Acranthera velutinervia Bremek."	0	0	0	1	0	0	0	0
"14"	"Acrosynanthus jamaicensis Howard & Proctor"	0	0	0	0	0	1	0	0
"15"	"Acrosynanthus latifolius Standl."	0	0	0	0	0	4	0	0
"16"	"Acrosynanthus parvifolius Britton ex Standl."	0	0	0	0	0	1	0	0
"17"	"Acrosynanthus revolutus Urb."	0	0	0	0	0	2	0	0
"18"	"Adenium boehmianum Schinz"	0	0	2	0	0	0	0	0
"19"	"Adenium multiflorum Klotzsch"	0	0	3	0	0	0	0	0
"20"	"Adenium obesum (Forssk.) Roem. & Schult."	0	0	43	0	0	0	1	0
"21"	"Adenium oleifolium Stapf"	0	0	23	0	0	0	0	0
"22"	"Adenium Roem. & Schult."	0	0	2	0	0	0	0	0
"23"	"Adenium somalense Balf. f."	0	0	2	0	0	0	0	0
"24"	"Adenium swazicum Stapf"	0	0	13	0	0	0	0	0
"25"	"Adenolisianthus arboreus Gilg"	0	0	0	0	0	13	0	0
"26"	"Adenorandia kalbreyeri (Hiern) Robbr. & Bridson"	0	0	9	0	0	0	0	0
"27"	"Adenosacme longifolia Wall."	0	0	0	1	0	0	0	0
"28"	"Adina cordifolia (Roxb.) Benth. & Hook.f. ex B.D.Jacks."	0	0	0	1	0	0	0	0
"29"	"Adina microcephala (Delile) Hiern"	0	0	6	0	0	0	0	0
"30"	"Adina pilulifera (Lam.) Franch. ex Drake"	0	0	0	4	0	0	0	3
"31"	"Adina polycephala Benth."	0	0	0	1	0	0	0	0
"32"	"Adina racemosa (Siebold & Zucc.) Miq."	0	0	0	20	0	0	0	0
"33"	"Adina rubella Hance"	0	0	0	8	0	0	0	6
"34"	"Adina Salisb."	0	0	3	6	0	0	0	0
"35"	"Afrocanthium gilfillanii (N.E.Br.) Lantz"	0	0	30	0	0	0	0	0
"36"	"Afrocanthium lactescens (Hiern) Lantz"	0	0	34	0	0	0	0	0
"37"	"Afrocanthium mundianum (Cham. & Schltdl.) Lantz"	0	0	1	0	0	0	0	0
"38"	"Aganosma cymosa G.Don"	0	0	0	2	0	0	0	0
"39"	"Aganosma G.Don"	0	0	0	2	0	0	0	0
"40"	"Aganosma marginata G.Don"	0	0	0	10	0	0	0	0
"41"	"Aganosma wallichii G.Don"	0	0	0	1	0	0	0	0
"42"	"Agathisanthemum bojeri Klotzsch"	0	0	25	0	0	0	0	0
"43"	"Agathisanthemum chlorophyllum (Hochst.) Bremek."	0	0	21	0	0	0	0	0
"44"	"Agathisanthemum globosum (Hochst. ex A.Rich.) Klotzsch"	0	0	210	0	0	0	0	0
"45"	"Agathisanthemum Klotzsch"	0	0	4	0	0	0	0	0
"46"	"Agouticarpa curviflora (Dwyer) C.H.Perss."	0	0	0	0	0	17	0	0
"47"	"Agouticarpa hirsuta C.H.Perss."	0	0	0	0	0	1	0	0
"48"	"Agouticarpa isernii (Standl.) C.H.Perss."	0	0	0	0	0	12	0	0
"49"	"Agouticarpa velutina C.H.Perss."	0	0	0	0	0	1	0	0
"50"	"Agouticarpa williamsii (Standl.) C.H.Perss."	0	0	0	0	0	4	0	0
"51"	"Aidia acuminata (Blume) K.M.Wong"	1	0	0	1	0	0	0	0
"52"	"Aidia auriculata (Wall.) Ridsdale"	0	0	0	2	0	0	0	0
"53"	"Aidia borneensis Ridsdale"	0	0	0	6	0	0	0	0
"54"	"Aidia bracteata Ridsdale"	3	0	0	0	0	0	0	0
"55"	"Aidia cochinchinensis Lour."	2	0	0	3	0	0	0	1
"56"	"Aidia congestum (Schltr. & E.H.L.Krause) Ridsdale"	1	0	0	0	0	0	0	0
"57"	"Aidia cowleyi Puttock"	1	0	0	0	0	0	0	0
"58"	"Aidia densiflora (Wall.) Masam."	0	0	0	37	0	0	0	0
"59"	"Aidia genipiflora (DC.) Dandy"	0	0	132	0	0	0	0	0
"60"	"Aidia graeffei (Reinecke) Tirveng."	0	0	0	0	0	0	1	0
"61"	"Aidia henryi (E.Pritz.) T.Yamaz."	0	0	0	0	0	0	0	1
"62"	"Aidia heterophylla Ridsdale"	1	0	0	0	0	0	0	0
"63"	"Aidia jambosoides (Valeton) Ridsdale"	0	0	0	1	0	0	0	0
"64"	"Aidia lancifolia K.M.Wong"	0	0	0	1	0	0	0	0
"65"	"Aidia Lour."	7	0	53	5	0	0	0	0
"66"	"Aidia micrantha (K.Schum.) Bullock ex F.White"	0	0	398	0	0	0	0	0
"67"	"Aidia micrantha var. acarophyta"	0	0	34	0	0	0	0	0
"68"	"Aidia micrantha var. congolana"	0	0	185	0	0	0	0	0
"69"	"Aidia micrantha var. micrantha"	0	0	33	0	0	0	0	0
"70"	"Aidia micrantha var. msonju"	0	0	13	0	0	0	0	0
"71"	"Aidia micrantha var. zenkeri"	0	0	45	0	0	0	0	0
"72"	"Aidia ochroleuca (K.Schum.) E.M.A.Petit"	0	0	72	0	0	0	0	0
"73"	"Aidia paiei Ridsdale"	0	0	0	1	0	0	0	0
"74"	"Aidia polystachya (Valeton) Ridsdale"	1	0	0	0	0	0	0	0
"75"	"Aidia quintasii (K.Schum.) G.Taylor"	0	0	10	0	0	0	0	0
"76"	"Aidia racemosa (Cav.) Tirveng."	192	0	0	3	0	0	0	0
"77"	"Aidia rhacodosepala (K.Schum.) E.M.A.Petit"	0	0	38	0	0	0	0	0
"78"	"Aidia rubens (Hiern) G.Taylor"	0	0	61	0	0	0	0	0
"79"	"Aidia wallichiana Tirveng."	1	0	0	2	0	0	0	0
"80"	"Airosperma K.Schum. & Lauterb."	3	0	0	0	0	0	0	0
"81"	"Airosperma psychotrioides K.Schum. & Lauterb."	2	0	0	0	0	0	0	0
"82"	"Alafia alba Pichon"	0	0	4	0	0	0	0	0
"83"	"Alafia barteri Oliv."	0	0	216	0	0	0	0	0
"84"	"Alafia benthamii Stapf"	0	0	31	0	0	0	0	0
"85"	"Alafia calophylla Pichon"	0	0	1	0	0	0	0	0
"86"	"Alafia caudata Stapf"	0	0	27	0	0	0	0	0
"87"	"Alafia caudata subsp. latiloba Kupicha"	0	0	5	0	0	0	0	0
"88"	"Alafia Du Petit-Thouars, 1806"	0	0	27	0	0	0	0	0
"89"	"Alafia erythrophthalma (K.Schum.) Leeuwenb."	0	0	57	0	0	0	0	0
"90"	"Alafia falcata Leeuwenb."	0	0	12	0	0	0	0	0
"91"	"Alafia fuscata Pichon"	0	0	2	0	0	0	0	0
"92"	"Alafia grandis Stapf"	0	0	2	0	0	0	0	0
"93"	"Alafia landolphioides Benth. & Hook.f."	0	0	51	0	0	0	0	0
"94"	"Alafia lucida Stapf"	0	0	181	0	0	0	0	0
"95"	"Alafia microstylis K.Schum."	0	0	2	0	0	0	0	0
"96"	"Alafia multiflora Stapf"	0	0	72	0	0	0	0	0
"97"	"Alafia nigrescens Pichon"	0	0	4	0	0	0	0	0
"98"	"Alafia parciflora Stapf"	0	0	3	0	0	0	0	0
"99"	"Alafia pauciflora Radlk."	0	0	11	0	0	0	0	0
"100"	"Alafia perrieri Jum."	0	0	43	0	0	0	0	0
"101"	"Alafia scandens (Thonn.) De Wild."	0	0	6	0	0	0	0	0
"102"	"Alafia schumannii Stapf"	0	0	38	0	0	0	0	0
"103"	"Alafia thouarsii Roem. & Schult."	0	0	64	0	0	0	0	0
"104"	"Alafia velutina Leeuwenb."	0	0	2	0	0	0	0	0
"105"	"Alafia whytei Stapf"	0	0	22	0	0	0	0	0
"106"	"Alafia zambesiaca Kupicha"	0	0	2	0	0	0	0	0
"107"	"Alberta E.Mey."	0	0	5	0	0	0	0	0
"108"	"Alberta humblotii Drake"	0	0	1	0	0	0	0	0
"109"	"Alberta magna E.Mey."	0	0	18	0	0	0	0	0
"110"	"Alberta minor Baill."	0	0	3	0	0	0	0	0
"111"	"Alberta sambiranensis Homolle ex Cavaco"	0	0	1	0	0	0	0	0
"112"	"Alibertia A. Richard ex A.P. de Candolle, 1830"	0	0	0	0	0	122	0	0
"113"	"Alibertia acuminata (Benth.) Sandwith"	0	0	0	0	0	10	0	0
"114"	"Alibertia amplexicaulis S.Moore"	0	0	0	0	0	1	0	0
"115"	"Alibertia bertierifolia K.Schum."	0	0	0	0	0	4	0	0
"116"	"Alibertia claviflora K.Schum."	0	0	0	0	0	1	0	0
"117"	"Alibertia concolor (Cham.) K.Schum."	0	0	0	0	0	48	0	0
"118"	"Alibertia curviflora K.Schum."	0	0	0	0	0	5	0	0
"119"	"Alibertia edulis (Rich.) A.Rich. ex DC."	0	0	0	0	0	293	1	0
"120"	"Alibertia edulis var. edulis"	0	0	0	0	0	35	0	0
"121"	"Alibertia edulis var. obtusiuscula"	0	0	0	0	0	2	0	0
"122"	"Alibertia elliptica (Cham.) K.Schum."	0	0	0	0	0	14	0	0
"123"	"Alibertia garapatica K.Schum."	0	0	0	0	0	20	0	0
"124"	"Alibertia hadrantha Standl."	0	0	0	0	0	1	0	0
"125"	"Alibertia hispida Ducke"	0	0	0	0	0	1	0	0
"126"	"Alibertia humilis K.Schum."	0	0	0	0	0	3	0	0
"127"	"Alibertia isernii (Standl.) D.R.Simpson"	0	0	0	0	0	2	0	0
"128"	"Alibertia latifolia (Benth.) K.Schum."	0	0	0	0	0	23	0	0
"129"	"Alibertia macrophylla K.Schum."	0	0	0	0	0	8	0	0
"130"	"Alibertia myrciifolia K.Schum."	0	0	0	0	0	36	0	0
"131"	"Alibertia obtusa K.Schum."	0	0	0	0	0	10	0	0
"132"	"Alibertia pilosa K.Krause"	0	0	0	0	0	8	0	0
"133"	"Alibertia premontana C.M.Taylor"	0	0	0	0	0	21	0	0
"134"	"Alibertia rigida K.Schum."	0	0	0	0	0	14	0	0
"135"	"Alibertia rotunda (Cham.) K.Schum."	0	0	0	0	0	6	0	0
"136"	"Alibertia sessilis (Vell.) K.Schum."	0	0	0	0	0	33	0	0
"137"	"Alibertia sorbilis Huber ex Ducke"	0	0	0	0	0	7	0	0
"138"	"Alibertia stenantha Standl."	0	0	0	0	0	12	0	0
"139"	"Alibertia surinamensis (Bremek.) Steyerm."	0	0	0	0	0	25	0	0
"140"	"Alibertia triflora (A.Rich. ex DC.) K.Schum."	0	0	0	0	0	3	0	0
"141"	"Alibertia utleyorum (Dwyer) C.M.Taylor"	0	0	0	0	0	21	0	0
"142"	"Alibertia vaccinioides K.Schum."	0	0	0	0	0	1	0	0
"143"	"Alibertia verrucosa S.Moore"	0	0	0	0	0	3	0	0
"144"	"Allamanda angustifolia Pohl"	0	0	0	0	0	4	0	0
"145"	"Allamanda blanchetii A. DC."	0	0	6	2	0	2	1	0
"146"	"Allamanda cathartica L."	12	0	32	5	1	148	1	1
"147"	"Allamanda cathartica var. hendersonii L.H.Bailey & Raffill"	0	0	0	0	0	0	1	0
"148"	"Allamanda L."	0	0	2	0	0	6	0	0
"149"	"Allamanda martii M??ll.Arg."	0	0	0	0	0	1	0	0
"150"	"Allamanda neriifolia Hook."	0	0	0	1	0	0	0	0
"151"	"Allamanda oenotherifolia Pohl"	0	0	0	0	0	0	1	0
"152"	"Allamanda puberula A.DC."	0	0	0	0	0	3	0	0
"153"	"Allamanda schottii Pohl"	0	0	34	0	0	2	1	0
"154"	"Allamanda violacea Gardn. & Field."	0	0	4	0	0	0	0	0
"155"	"Allenanthus erythrocarpus Standl."	0	0	0	0	0	38	0	0
"156"	"Allenanthus hondurensis Standl."	0	0	0	0	0	4	0	0
"157"	"Allenanthus hondurensis var. parvifolia"	0	0	0	0	1	0	0	0
"158"	"Allomarkgrafia brenesiana Woodson"	0	0	0	0	0	55	0	0
"159"	"Allomarkgrafia foreroi A.H.Gentry"	0	0	0	0	0	2	0	0
"160"	"Allomarkgrafia insignis J.F.Morales"	0	0	0	0	0	1	0	0
"161"	"Allomarkgrafia plumeriiflora Woodson"	0	0	0	0	0	81	0	0
"162"	"Allomarkgrafia Woodson"	0	0	0	0	0	6	0	0
"163"	"Allotoonia caudata J.F.Morales"	0	0	0	0	0	8	0	0
"164"	"Allotoonia J.F.Morales & J.K.Williams"	0	0	0	0	0	2	0	0
"165"	"Allotoonia turbinata (Woodson) J.F.Morales & J.K.Williams"	0	0	0	0	0	7	0	0
"166"	"Allotoonia woodsoniana (Monach.) J.F.Morales & J.K.Williams"	0	0	0	0	0	26	0	0
"167"	"Alseis blackiana Hemsl."	0	0	0	0	0	30	0	0
"168"	"Alseis costaricensis C.M.Taylor"	0	0	0	0	0	27	0	0
"169"	"Alseis floribunda Schott"	0	0	0	0	0	26	0	0
"170"	"Alseis H.W. Schott in K.P.J. Sprengel, 1827"	0	0	0	0	0	14	0	0
"171"	"Alseis hondurensis Standl."	0	0	0	0	0	6	0	0
"172"	"Alseis involuta K.Schum."	0	0	0	0	0	3	0	0
"173"	"Alseis labatioides H.Karst. ex K.Schum."	0	0	0	0	0	4	0	0
"174"	"Alseis longifolia Ducke"	0	0	0	0	0	15	0	0
"175"	"Alseis lugonis L.Andessson"	0	0	0	0	0	2	0	0
"176"	"Alseis microcarpa Standl. & Steyerm."	0	0	0	0	0	3	0	0
"177"	"Alseis peruviana Standl."	0	0	0	0	0	3	0	0
"178"	"Alseis pickelii Pilg. & Schmale"	0	0	0	0	0	5	0	0
"179"	"Alseis reticulata Pilg. & Schmale"	0	0	0	0	0	1	0	0
"180"	"Alseis schippii Lundell"	0	0	0	0	0	1	0	0
"181"	"Alseis smithii Standl."	0	0	0	0	0	2	0	0
"182"	"Alseis yucatanensis Standl."	0	0	0	0	0	6	0	0
"183"	"Alstonia actinophylla K.Schum."	60	0	0	0	0	0	0	0
"184"	"Alstonia angustifolia Wall."	0	0	0	17	0	0	0	0
"185"	"Alstonia angustiloba Miq."	0	0	0	1	0	0	0	0
"186"	"Alstonia balansae Guillaumin"	8	0	0	0	0	0	0	0
"187"	"Alstonia boonei De Wild."	0	0	150	0	0	0	0	0
"188"	"Alstonia brassii Monach."	2	0	0	0	0	0	0	0
"189"	"Alstonia breviloba K.Sidiyasa"	3	0	0	0	0	0	0	0
"190"	"Alstonia congensis Engl."	0	0	63	0	0	0	0	0
"191"	"Alstonia constricta F.Muell."	91	0	1	0	0	0	0	0
"192"	"Alstonia constricta var. mollis F.M.Bailey"	1	0	0	0	0	0	0	0
"193"	"Alstonia coriacea Pancher & S.Moore"	43	0	0	0	0	0	0	0
"194"	"Alstonia costata Wall."	2	0	0	0	0	0	0	0
"195"	"Alstonia curtisii King & Gamble"	0	0	0	1	0	0	0	0
"196"	"Alstonia deplanchei Van Heurck & M??ll.Arg."	20	0	0	0	0	0	0	0
"197"	"Alstonia elliptica J.W.Moore"	0	0	0	0	0	0	1	0
"198"	"Alstonia ficifolia S.Moore"	1	0	0	0	0	0	0	0
"199"	"Alstonia glabriflora Markgr."	2	0	0	0	0	0	0	0
"200"	"Alstonia iwahigensis Elmer"	0	0	0	4	0	0	0	0
"201"	"Alstonia lanceolata Van Heurck & M??ll.Arg."	3	0	0	0	0	0	0	0
"202"	"Alstonia lanceolifera S.Moore"	4	0	0	0	0	0	0	0
"203"	"Alstonia legouixiae Van Heurck & M??ll.Arg."	12	0	0	0	0	0	0	0
"204"	"Alstonia lenormandii Van Heurck & M??ll.Arg."	4	0	0	0	0	0	0	0
"205"	"Alstonia linearis Benth."	9	0	0	0	0	0	0	0
"206"	"Alstonia longifolia (A.DC.) Pichon"	0	0	0	0	0	7	0	0
"207"	"Alstonia macrophylla Wall. ex G. Don"	1	0	4	2	0	0	0	0
"208"	"Alstonia muelleriana Domin"	28	0	0	0	0	0	0	0
"209"	"Alstonia odontophora Boiteau"	1	0	0	0	0	0	0	0
"210"	"Alstonia pittieri (Donn.Sm.) A.Gentry"	0	0	0	0	0	76	0	0
"211"	"Alstonia plumosa Labill."	22	0	0	0	0	0	0	0
"212"	"Alstonia rostrata C.E.C.Fisch."	0	0	0	1	0	0	0	0
"213"	"Alstonia rubiginosa K.Sidiyasa"	1	0	0	0	0	0	0	0
"214"	"Alstonia scholaris (L.) R. Br."	33	0	0	28	1	0	2	0
"215"	"Alstonia Scopoli, 1777"	2	0	4	7	0	0	0	0
"216"	"Alstonia spectabilis R.Br."	68	0	0	0	0	0	0	0
"217"	"Alstonia spectabilis subsp. ophioxyloides (F.Muell.) P.I.Forst."	11	0	0	0	0	0	0	0
"218"	"Alstonia spectabilis subsp. spectabilis R.Br."	10	0	0	0	0	0	0	0
"219"	"Alstonia undulata Guillaumin"	5	0	0	0	0	0	0	0
"220"	"Alstonia verticillosa F.Muell."	1	0	0	0	0	0	0	0
"221"	"Alstonia vieillardii Van Heurck & M??ll.Arg."	66	0	0	0	0	0	0	0
"222"	"Alstonia vitiensis Seem."	1	0	0	0	0	0	0	0
"223"	"Alyxia acuminata K.Schum."	36	0	0	0	0	0	0	0
"224"	"Alyxia affinis Van Heurck & M??ll.Arg."	4	0	0	0	0	0	0	0
"225"	"Alyxia angustifolia Ridl."	0	0	0	4	0	0	0	0
"226"	"Alyxia annamensis Pit."	0	0	0	1	0	0	0	0
"227"	"Alyxia baillonii Guillaumin"	3	0	0	0	0	0	0	0
"228"	"Alyxia balansae Pit."	0	0	0	1	0	0	0	0
"229"	"Alyxia Banks ex R. Br."	55	0	0	12	0	0	1	0
"230"	"Alyxia bracteolosa Rich ex A.Gray"	0	0	0	0	0	0	1	0
"231"	"Alyxia breviflora Van Heurck & M??ll.Arg."	3	0	0	0	0	0	0	0
"232"	"Alyxia brevipes Schltr."	46	0	0	0	0	0	0	0
"233"	"Alyxia buxifolia R.Br."	465	0	0	0	0	0	0	0
"234"	"Alyxia cacuminum Markgr."	3	0	0	0	0	0	0	0
"235"	"Alyxia caletioides (Baill.) Guillaumin"	48	0	0	0	0	0	0	0
"236"	"Alyxia clusiophylla Guillaumin"	5	0	0	0	0	0	0	0
"237"	"Alyxia composita Warb."	2	0	0	0	0	0	0	0
"238"	"Alyxia concatenata Merr."	0	0	0	1	0	0	0	0
"239"	"Alyxia crassifolia Pit."	0	0	1	0	0	0	0	0
"240"	"Alyxia cylindrocarpa Guillaumin"	1	0	0	0	0	0	0	0
"241"	"Alyxia diellipticocarpa E.Heck."	1	0	0	0	0	0	0	0
"242"	"Alyxia disphaerocarpa Van Heurck & M??ll.Arg."	5	0	0	0	0	0	0	0
"243"	"Alyxia dolioliflora Guillaumin"	10	0	0	0	0	0	0	0
"244"	"Alyxia efatensis Guillaumin"	2	0	0	0	0	0	0	0
"245"	"Alyxia floribunda Markgr."	5	0	0	0	0	0	0	0
"246"	"Alyxia fosbergii J.Florence"	0	0	0	0	0	0	1	0
"247"	"Alyxia fragrans Merr. & L.M.Perry"	2	0	0	0	0	0	0	0
"248"	"Alyxia ganophylla Markgr."	0	0	0	4	0	0	0	0
"249"	"Alyxia glaucophylla Van Heurck & M??ll.Arg."	8	0	0	0	0	0	0	0
"250"	"Alyxia globosa D.J.Middleton"	1	0	0	0	0	0	0	0
"251"	"Alyxia graciliflora D.J.Middleton"	5	0	0	0	0	0	0	0
"252"	"Alyxia grandis P.I.Forst."	3	0	0	0	0	0	0	0
"253"	"Alyxia halmaheirae Miq."	2	0	0	0	0	0	0	0
"254"	"Alyxia hurlimannii Guillaumin"	9	0	0	0	0	0	0	0
"255"	"Alyxia ilicifolia F.Muell."	10	0	0	0	0	0	0	0
"256"	"Alyxia insularis Kaneh. & Sasaki"	0	0	0	47	0	0	0	0
"257"	"Alyxia integricarpa Boiteau"	2	0	0	0	0	0	0	0
"258"	"Alyxia johnsoniae S.Moore"	6	0	0	0	0	0	0	0
"259"	"Alyxia kaalaensis Boiteau"	1	0	0	0	0	0	0	0
"260"	"Alyxia kabaenae Markgr."	1	0	0	0	0	0	0	0
"261"	"Alyxia kwalotabaa D.J.Middleton"	3	0	0	0	0	0	0	0
"262"	"Alyxia leucogyne Van Heurck & M??ll.Arg."	10	0	0	0	0	0	0	0
"263"	"Alyxia loeseneriana Schltr."	4	0	0	0	0	0	0	0
"264"	"Alyxia longiloba D.J.Middleton"	1	0	0	0	0	0	0	0
"265"	"Alyxia luzoniensis Merr."	0	0	0	2	0	0	0	0
"266"	"Alyxia magnifolia F.M.Bailey"	6	0	0	0	0	0	0	0
"267"	"Alyxia maluensis Markgr."	2	0	0	0	0	0	0	0
"268"	"Alyxia manusiana D.J.Middleton"	2	0	0	0	0	0	0	0
"269"	"Alyxia margaretae Boiteau"	2	0	0	0	0	0	0	0
"270"	"Alyxia marginata Pit."	0	0	0	5	0	0	0	0
"271"	"Alyxia markgrafii Tsiang"	30	0	0	0	0	0	0	0
"272"	"Alyxia microbuxus (Baill.) Guillaumin"	4	0	0	0	0	0	0	0
"273"	"Alyxia microcarpa Pancher ex Boiteau"	15	0	0	0	0	0	0	0
"274"	"Alyxia mujongensis Markgr."	0	0	0	4	0	0	0	0
"275"	"Alyxia multistriata Markgr."	6	0	0	0	0	0	0	0
"276"	"Alyxia myrtoides Schltr."	45	0	0	0	0	0	0	0
"277"	"Alyxia nummularia S.Moore"	10	0	0	0	0	0	0	0
"278"	"Alyxia oblongata Domin"	14	0	0	0	0	0	0	0
"279"	"Alyxia oliviformis f. rotundata H.St.John"	0	0	0	0	0	0	1	0
"280"	"Alyxia oliviformis Gaudich."	0	0	0	0	0	0	12	0
"281"	"Alyxia oppositifolia Boiteau"	1	0	0	0	0	0	0	0
"282"	"Alyxia orophila Domin"	11	0	0	0	0	0	0	0
"283"	"Alyxia oubatchensis (Schltr.) Boiteau"	2	0	0	0	0	0	0	0
"284"	"Alyxia papuana D.J.Middleton"	5	0	0	0	0	0	0	0
"285"	"Alyxia parvifolia Merr."	0	0	0	2	0	0	0	0
"286"	"Alyxia podocarpa Van Heurck & M??ll.Arg."	1	0	0	0	0	0	0	0
"287"	"Alyxia pseudoserpentina Boiteau"	1	0	0	0	0	0	0	0
"288"	"Alyxia pullei Markgr."	1	0	0	0	0	0	0	0
"289"	"Alyxia punctata Kaneh. & Hatus."	2	0	0	0	0	0	0	0
"290"	"Alyxia purpureoclada Kaneh. & Hatus."	3	0	0	0	0	0	0	0
"291"	"Alyxia racemosa Pit."	0	0	0	1	0	0	0	0
"292"	"Alyxia reinwardtii Blume"	0	0	0	10	0	0	0	0
"293"	"Alyxia ridleyana Wernham"	2	0	0	0	0	0	0	0
"294"	"Alyxia rosmarinifolia Merr. & Quisumb."	1	0	0	0	0	0	0	0
"295"	"Alyxia rostrata (Markgr.) Markgr."	8	0	0	0	0	0	0	0
"296"	"Alyxia royeniana Markgr."	1	0	0	0	0	0	0	0
"297"	"Alyxia rubricaulis (Baill.) Guillaumin"	33	0	0	0	0	0	0	0
"298"	"Alyxia ruscifolia R.Br."	63	0	0	0	0	0	8	0
"299"	"Alyxia sarasinii Guillaumin"	8	0	0	0	0	0	0	0
"300"	"Alyxia scabrida Markgr."	3	0	0	0	0	0	0	0
"301"	"Alyxia siamensis Craib & Kerr"	0	0	0	0	0	0	0	1
"302"	"Alyxia sibuyanensis Elmer"	0	0	0	1	0	0	0	0
"303"	"Alyxia sinensis Champ. ex Benth."	0	0	0	4	0	0	0	0
"304"	"Alyxia sleumeri Markgr."	2	0	0	0	0	0	0	0
"305"	"Alyxia sogerensis Wernham ex S.Moore"	2	0	0	0	0	0	0	0
"306"	"Alyxia spicata R.Br."	125	0	0	0	0	0	0	0
"307"	"Alyxia squamulosa C.Moore & F.Muell."	0	0	0	0	0	0	7	0
"308"	"Alyxia stellata (J.R. Forst. & G. Forst.) Roem. & Schult."	5	0	0	0	0	0	2	0
"309"	"Alyxia subalpina Markgr."	23	0	0	0	0	0	0	0
"310"	"Alyxia taiwanensis S.Y.Lu & Y.P.Yang"	0	0	0	5	0	0	0	0
"311"	"Alyxia tetanifolia Cranfield"	11	0	0	0	0	0	0	0
"312"	"Alyxia tetraquetra Markgr."	9	0	0	0	0	0	0	0
"313"	"Alyxia thailandica D.J.Middleton"	0	0	0	1	0	0	0	0
"314"	"Alyxia tisserantii Montrouz."	13	0	0	0	0	0	0	0
"315"	"Alyxia torquata Guillaumin"	1	0	0	0	0	0	0	0
"316"	"Alyxia tropica (P.I.Forst.) D.J.Middleton"	30	0	0	0	0	0	0	0
"317"	"Alyxia veillonii D.J.Middleton"	1	0	0	0	0	0	0	0
"318"	"Alyxia yunkuniana Tsiang"	0	0	0	1	0	0	0	5
"319"	"Amaioua Aubl."	0	0	0	0	0	51	0	0
"320"	"Amaioua brevidentata Steyerm."	0	0	0	0	0	6	0	0
"321"	"Amaioua corymbosa Kunth"	0	0	0	0	0	373	0	0
"322"	"Amaioua fagifolia Desf."	0	0	0	0	0	1	0	0
"323"	"Amaioua guianensis Aubl."	0	0	0	0	0	339	0	0
"324"	"Amaioua intermedia Mart. ex Schult. & Schult.f."	0	0	0	0	0	16	0	0
"325"	"Amaioua intermedia var. brasiliana"	0	0	0	0	0	4	0	0
"326"	"Amaioua magnicarpa Dwyer"	0	0	0	0	0	16	0	0
"327"	"Amaioua pedicellata Dwyer"	0	0	0	0	0	79	0	0
"328"	"Amaioua petiolaris Spruce"	0	0	0	0	0	2	0	0
"329"	"Amaioua pilosa K.Schum."	0	0	0	0	0	1	0	0
"330"	"Amalocalyx microlobus Pierre"	0	0	0	4	0	0	0	0
"331"	"Amaracarpus Blume"	41	0	0	0	0	0	0	0
"332"	"Amaracarpus brassii Merr. & L.M.Perry"	2	0	0	0	0	0	0	0
"333"	"Amaracarpus fimbristipularis P.Royen"	1	0	0	0	0	0	0	0
"334"	"Amaracarpus giluwensis P.Royen"	2	0	0	0	0	0	0	0
"335"	"Amaracarpus longifolius Elmer"	1	0	0	0	0	0	0	0
"336"	"Amaracarpus pubescens Blume"	0	0	0	1	0	0	0	0
"337"	"Amaracarpus subalpinus P.Royen"	1	0	0	0	0	0	0	0
"338"	"Amaralia Welw. ex Benth. & Hook.f."	0	0	1	0	0	0	0	0
"339"	"Amaralia zenkeri (Hua) Wernham"	0	0	1	0	0	0	0	0
"340"	"Amarella Gilib."	0	0	0	0	2	0	0	0
"341"	"Ambelania acida Aubl."	0	0	0	0	0	111	0	0
"342"	"Ambelania Aubl."	0	0	0	0	0	11	0	0
"343"	"Ambelania duckei Markgr."	0	0	0	0	0	10	0	0
"344"	"Ambelania grandiflora Huber"	0	0	0	0	0	1	0	0
"345"	"Ambelania occidentalis Zarucchi"	0	0	0	0	0	37	0	0
"346"	"Ambelania pantchenkoana Markgr."	0	0	0	0	0	1	0	0
"347"	"Amblyanthera brachyloba M??ll.Arg."	0	0	0	0	0	1	0	0
"348"	"Amblyopetalum coccineum (Griseb.) Malme"	0	0	0	0	0	12	0	0
"349"	"Amblystigma cionophorum E.Fourn."	0	0	0	0	0	2	0	0
"350"	"Ampelamus albidus (Nutt.) Britton"	0	0	0	0	1	0	0	0
"351"	"Amphiasma benguellense (Hiern) Bremek."	0	0	10	0	0	0	0	0
"352"	"Amphiasma Bremek."	0	0	1	0	0	0	0	0
