Data Publisher	Dataset	Dataset Rights	Scientific name	Scientific name (interpreted)	Latitude	Longitude	GBIF portal url	
Missouri Botanical Garden	Missouri Botanical Garden		Asclepias verticillata L.	Asclepias verticillata L.			http://data.gbif.org/occurrences/319128289
Missouri Botanical Garden	Missouri Botanical Garden		Asclepias verticillata L.	Asclepias verticillata L.			http://data.gbif.org/occurrences/319128556
Missouri Botanical Garden	Missouri Botanical Garden		Asclepias verticillata L.	Asclepias verticillata L.			http://data.gbif.org/occurrences/319128699
Missouri Botanical Garden	Missouri Botanical Garden		Asclepias verticillata L.	Asclepias verticillata L.			http://data.gbif.org/occurrences/319128827
Missouri Botanical Garden	Missouri Botanical Garden		Asclepias verticillata L.	Asclepias verticillata L.			http://data.gbif.org/occurrences/319128838
Missouri Botanical Garden	Missouri Botanical Garden		Asclepias viridiflora Raf.	Asclepias viridiflora Raf.			http://data.gbif.org/occurrences/319129237
Missouri Botanical Garden	Missouri Botanical Garden		Asclepias viridis Walter	Asclepias viridis Walter			http://data.gbif.org/occurrences/319129647
Missouri Botanical Garden	Missouri Botanical Garden		Aspidosperma pyrifolium Mart.	Aspidosperma pyrifolium Mart.			http://data.gbif.org/occurrences/319132926
Missouri Botanical Garden	Missouri Botanical Garden		Aspidosperma quebracho-blanco Schltdl.	Aspidosperma quebracho-blanco Schltdl.			http://data.gbif.org/occurrences/319133336
Missouri Botanical Garden	Missouri Botanical Garden		Cameraria latifolia L.	Cameraria latifolia L.			http://data.gbif.org/occurrences/319416578
Missouri Botanical Garden	Missouri Botanical Garden		Condylocarpon isthmicum (Vell.) A. DC.	Condylocarpon isthmicum (Vell.) A. DC.			http://data.gbif.org/occurrences/319740548
Missouri Botanical Garden	Missouri Botanical Garden		Cynanchum altiscandens K. Schum.	Cynanchum altiscandens K. Schum.			http://data.gbif.org/occurrences/319873193
Missouri Botanical Garden	Missouri Botanical Garden		Cynanchum montevidense Spreng.	Cynanchum montevidense Spreng.			http://data.gbif.org/occurrences/319875140
Missouri Botanical Garden	Missouri Botanical Garden		Cynanchum ligulatum (Benth.) Woodson	Cynanchum ligulatum (Benth.) Woodson			http://data.gbif.org/occurrences/319875411
Missouri Botanical Garden	Missouri Botanical Garden		Cynanchum tarmense Schltr.	Cynanchum tarmense Schltr.			http://data.gbif.org/occurrences/319875949
Missouri Botanical Garden	Missouri Botanical Garden		Cynanchum unifarium (Scheele) Woodson	Cynanchum unifarium (Scheele) Woodson			http://data.gbif.org/occurrences/319876344
Missouri Botanical Garden	Missouri Botanical Garden		Cynanchum unifarium (Scheele) Woodson	Cynanchum unifarium (Scheele) Woodson			http://data.gbif.org/occurrences/319876359
Missouri Botanical Garden	Missouri Botanical Garden		Cynanchum tenellum L. f.	Cynanchum tenellum L.			http://data.gbif.org/occurrences/319877025
Missouri Botanical Garden	Missouri Botanical Garden		Forsteronia acouci (Aubl.) A. DC.	Forsteronia acouci (Aubl.) A. DC.			http://data.gbif.org/occurrences/320299752
Missouri Botanical Garden	Missouri Botanical Garden		Forsteronia spicata (Jacq.) G. Mey.	Forsteronia spicata (Jacq.) G. Mey.			http://data.gbif.org/occurrences/320300843
Missouri Botanical Garden	Missouri Botanical Garden		Forsteronia pubescens A. DC.	Forsteronia pubescens A. DC.			http://data.gbif.org/occurrences/320300971
Missouri Botanical Garden	Missouri Botanical Garden		Funastrum clausum (Jacq.) Schltr.	Funastrum clausum (Jacq.) Schltr.			http://data.gbif.org/occurrences/320320270
Missouri Botanical Garden	Missouri Botanical Garden		Gonolobus chloranthus Schltdl.	Gonolobus chloranthus Schltdl.			http://data.gbif.org/occurrences/320385081
Missouri Botanical Garden	Missouri Botanical Garden		Hemipogon luteus E. Fourn.	Hemipogon luteus E. Fourn.			http://data.gbif.org/occurrences/320487531
Missouri Botanical Garden	Missouri Botanical Garden		Himatanthus obovatus (Müll. Arg.) Woodson	Himatanthus obovatus (Müll. Arg.) Woodson			http://data.gbif.org/occurrences/320515160
Missouri Botanical Garden	Missouri Botanical Garden		Lacmellea floribunda (Poepp.) Benth.	Lacmellea floribunda (Poepp.) Benth.			http://data.gbif.org/occurrences/320701116
Missouri Botanical Garden	Missouri Botanical Garden		Landolphia kirkii Dyer	Landolphia kirkii Dyer			http://data.gbif.org/occurrences/320710859
Missouri Botanical Garden	Missouri Botanical Garden		Macoubea guianensis Aubl.	Macoubea guianensis Aubl.			http://data.gbif.org/occurrences/320888214
Missouri Botanical Garden	Missouri Botanical Garden		Macrosiphonia longiflora (Desf.) Müll. Arg.	Macrosiphonia longiflora (Desf.) Müll. Arg.			http://data.gbif.org/occurrences/320899172
Missouri Botanical Garden	Missouri Botanical Garden		Malouetia furfuracea Spruce ex Müll. Arg.	Malouetia furfuracea Spruce ex Müll. Arg.			http://data.gbif.org/occurrences/320906569
Missouri Botanical Garden	Missouri Botanical Garden		Malouetia flavescens (Willd. ex Roem. & Schult.) Müll. Arg.	Malouetia flavescens (Willd. ex Roem. & Schult.) Müll. Arg.			http://data.gbif.org/occurrences/320906836
Missouri Botanical Garden	Missouri Botanical Garden		Mandevilla equatorialis Woodson	Mandevilla equatorialis Woodson			http://data.gbif.org/occurrences/320916524
Missouri Botanical Garden	Missouri Botanical Garden		Mandevilla grata Woodson	Mandevilla grata Woodson			http://data.gbif.org/occurrences/320916652
Missouri Botanical Garden	Missouri Botanical Garden		Mandevilla tubiflora (M. Martens & Galeotti) Woodson	Mandevilla tubiflora (M. Martens & Galeotti) Woodson			http://data.gbif.org/occurrences/320918870
Missouri Botanical Garden	Missouri Botanical Garden		Mandevilla subsagittata (Ruiz & Pav.) Woodson	Mandevilla subsagittata (Ruiz & Pav.) Woodson			http://data.gbif.org/occurrences/320918998
Missouri Botanical Garden	Missouri Botanical Garden		Marsdenia R. Br.	Marsdenia R. Br.			http://data.gbif.org/occurrences/320942400
Missouri Botanical Garden	Missouri Botanical Garden		Marsdenia zimapanica Hemsl.	Marsdenia zimapanica Hemsl.			http://data.gbif.org/occurrences/320942799
