#Species name	Lat.	Longitude	Comment	
Species gotlandica	57.6627998352	18.346200943		
Species gotlandica_2	57.66	18.34		
Ivesia aperta	39.82	-120.4	CHSC35943	
Ivesia aperta	39.81	-120.39	CHSC88602	
Ivesia aperta	39.53	-120.37	UC1137531	
Ivesia aperta	39.63	-120.36	UC585121	
Ivesia aperta	39.69	-120.32	4	
Ivesia aperta	39.69	-120.32	UC1560861	
Ivesia aperta	39.66	-120.32	CHSC91808	
Ivesia aperta	39.69	-120.32	UC1560862	
Ivesia aperta	39.65	-120.31	1	
Ivesia aperta	39.65	-120.3	CHSC67130	
Ivesia aperta	39.68	-120.29	5	
Ivesia aperta	39.65	-120.27	CDA12299	
Ivesia aperta	39.68	-120.27	UC1560864	
Ivesia aperta	39.66	-120.25	UC1560865	
Ivesia aperta	40.04	-120.23	UC1610051	
Ivesia aperta	40.03	-120.22	JEPS100321	
Ivesia aperta	39.92	-120.18	CDA19272	
Ivesia aperta	39.65	-120.1	CHSC67697	
Ivesia aperta	39.66	-120.09	CHSC67695	
Ivesia aperta	39.59	-120.08	UC477535	
Ivesia aperta	39.57	-120.06	UC1585842	
Ivesia aperta	39.56	-120.05	JEPS111223	
Ivesia aperta	39.57	-120.04	CHSC67696	
Ivesia aperta	39.57	-120.03	UC205445	
Ivesia aperta	40.63	-119.69	17	
Ivesia aperta	39.45	-119.54	14	
Ivesia argyrocoma	34.3	-117.65		
Ivesia argyrocoma	34.24	-117.21		
Ivesia argyrocoma	34.28	-117.13		
Ivesia argyrocoma	34.02	-117.08		
Ivesia argyrocoma	34.28	-116.94		
Ivesia argyrocoma	34.3	-116.93		
Ivesia argyrocoma	34.27	-116.93		
Ivesia argyrocoma	34.24	-116.93		
Ivesia argyrocoma	34.26	-116.93		
Ivesia argyrocoma	34.31	-116.93		
Ivesia argyrocoma	34.3	-116.92		
Ivesia argyrocoma	34.25	-116.88		
Ivesia argyrocoma	34.3	-116.87		
Ivesia argyrocoma	34.26	-116.87		
Ivesia argyrocoma	34.3	-116.86		
Ivesia argyrocoma	34.24	-116.86		
Ivesia argyrocoma	34.24	-116.85		
Ivesia argyrocoma	34.3	-116.85		
Ivesia argyrocoma	34.31	-116.85		
Ivesia argyrocoma	34.23	-116.82		
Ivesia argyrocoma	34.3	-116.82		
Ivesia argyrocoma	34.25	-116.8		
Ivesia argyrocoma	34.21	-116.71		
Ivesia argyrocoma	34.2	-116.24		
Ivesia argyrocoma	34.83	-116.19		
Ivesia arizonica	37.79	-117.63		
Ivesia arizonica	38.05	-116.45		
Ivesia arizonica	36.2	-115.02		
Ivesia arizonica	37.64	-114.88		
Ivesia arizonica	35.71	-113.75		
Ivesia arizonica	37.28	-113.52		
Ivesia arizonica	36.38	-112.36	Potentilla osterhoutii	
Ivesia arizonica	36.06	-112.14		
Ivesia arizonica	36.13	-111.93		
Ivesia arizonica	35	-111.77		
Ivesia arizonica	35.84	-111.77		
Ivesia baileyi	40.65	-120.58		
Ivesia baileyi	39.93	-120.35		
Ivesia baileyi	41.55	-120.29		
Ivesia baileyi	41.56	-120.27		
Ivesia baileyi	41.59	-120.25		
Ivesia baileyi	39.88	-120.19		
Ivesia baileyi	43.78	-119.21	395517	OSC
Ivesia baileyi	43.21	-119.14	328899	OSC
Ivesia baileyi	43.42	-119.12		
Ivesia baileyi	43.42	-119.11	358204	OSC
Ivesia baileyi	43.62	-119.05	357300	OSC
Ivesia baileyi	42.12	-119	318737	OSC
Ivesia baileyi	43.66	-119	367525	OSC
Ivesia baileyi	43.07	-118.97		
Ivesia baileyi	43.67	-118.81	278858	OSC
Ivesia baileyi	42.21	-118.76	328868	OSC
Ivesia baileyi	42.65	-118.6	278860	OSC
Ivesia baileyi	43.26	-118.59	393301	OSC
Ivesia baileyi	42.7	-118.59	369146	OSC
Ivesia baileyi	42.61	-118.59	382395	OSC
Ivesia baileyi	42.66	-118.58	312653	OSC
Ivesia baileyi	42.68	-118.57	384629	OSC
Ivesia baileyi	42.63	-118.57	316665	OSC
Ivesia baileyi	40.45	-118.4		
Ivesia baileyi	41.41	-118.12		
Ivesia baileyi	43.14	-117.67	325158	OSC
Ivesia baileyi	43.21	-117.63		
Ivesia baileyi	37.79	-117.63		
Ivesia baileyi	42.08	-117.39	341973	OSC
Ivesia baileyi	42.44	-117.34	3638	OSC
Ivesia baileyi	42.14	-117.32	335639	OSC
Ivesia baileyi	42.2	-117.17	325156	OSC
Ivesia baileyi	42.54	-117.16	325160	OSC
Ivesia baileyi	42.55	-117.16	372730	OSC
Ivesia baileyi	39.95	-117.03		
Ivesia baileyi	38	-116.83		
Ivesia baileyi	42.92	-116.78	524850	NY
Ivesia baileyi	42.48	-116.77	524395	NY
Ivesia baileyi	42.5	-116.7	523947	NY
Ivesia baileyi	38.37	-116.5		
Ivesia baileyi	38.05	-116.45		
Ivesia baileyi	39.98	-116.27		
Ivesia baileyi	42.56	-116.17		
Ivesia baileyi	42.21	-115.54	525612	NY
Ivesia baileyi	43.34	-115.47		
Ivesia baileyi	41.13	-115.35		
Ivesia baileyi	42.54	-114.96	525108	NY
Ivesia baileyi	39.44	-114.9		
Ivesia baileyi	42.35	-114.66		
Ivesia baileyi	40.11	-114.34		
Ivesia baileyi	40.45	-113.18		
Ivesia cryptocaulis	36.2018	-115.023	http://data.gbif.org/occurrences/32305625	
Ivesia cryptocaulis	36.27	-115.68		Ertter Charleston Peak
Ivesia jaegeri	34.83	-116.19	http://data.gbif.org/occurrences/32305723	
Ivesia jaegeri	36.2	-115.02	http://data.gbif.org/occurrences/32305725	
Ivesia jaegeri	35.54	-115.59		
Ivesia jaegeri	35.53	-115.57		
Ivesia jaegeri	35.52	-115.52		
Ivesia jaegeri	36.25	-115.63	Cathedral Rock	
Ivesia jaegeri	35.25	-115.65	Charleston Park	
Ivesia jaegeri	36.38	-115.56	hd Lee Cyn in pass	
Ivesia jaegeri	36.28	-115.43	Kyle Cyn	
Ivesia jaegeri	36.31	-115.6	Deer Creek	
