identifier	XCOOR	YCOOR
N_Andes	-73.19038541	9.706695683
N_Andes	-73.19038541	10.06075931
N_Andes	-73.15819781	10.28607252
N_Andes	-72.86850939	10.73669895
N_Andes	-72.35350776	11.25170058
N_Andes	-72.25694495	11.21951298
N_Andes	-72.38569536	10.86544936
N_Andes	-72.51444577	10.41482293
N_Andes	-72.73975898	9.835446091
N_Andes	-72.86850939	9.191694051
N_Andes	-72.9328846	8.419191602
N_Andes	-72.77194659	8.129503184
N_Andes	-72.38569536	7.839814766
N_Andes	-72.38569536	7.936377572
N_Andes	-72.25694495	8.129503184
N_Andes	-71.93506893	8.483566806
N_Andes	-71.64538051	8.580129612
N_Andes	-71.3556921	8.644504816
N_Andes	-71.13037888	8.934193235
N_Andes	-71.16256648	9.127318847
N_Andes	-70.96944087	9.288256857
N_Andes	-70.87287807	9.481382469
N_Andes	-70.74412766	9.674508081
N_Andes	-70.74412766	9.899821296
N_Andes	-70.77631526	10.15732211
N_Andes	-70.90506567	10.28607252
N_Andes	-71.00162847	10.47919813
N_Andes	-70.90506567	10.57576094
N_Andes	-70.58318965	10.83326175
N_Andes	-70.42225164	10.92982456
N_Andes	-70.26131363	10.99419976
N_Andes	-70.03600041	11.34826339
N_Andes	-69.19912276	11.541389
N_Andes	-68.61974592	11.34826339
N_Andes	-68.2978699	10.86544936
N_Andes	-68.10474429	10.67232374
N_Andes	-67.04255342	10.70451135
N_Andes	-66.6241146	10.76888655
N_Andes	-66.23786337	10.67232374
N_Andes	-66.01255016	10.44701053
N_Andes	-65.27223531	10.25388492
N_Andes	-64.30660725	10.38263533
N_Andes	-63.5019172	10.67232374
N_Andes	-63.24441639	10.44701053
N_Andes	-63.21222878	10.22169732
N_Andes	-63.85598082	9.867633693
N_Andes	-65.24004771	9.996384102
N_Andes	-66.07692536	9.867633693
N_Andes	-67.46099225	9.996384102
N_Andes	-68.68412113	9.899821296
N_Andes	-69.26349796	9.738883285
N_Andes	-69.58537399	9.223881653
N_Andes	-70.00381281	8.869818031
N_Andes	-70.51881444	8.451379204
N_Andes	-70.58318965	8.193878388
N_Andes	-71.22694169	7.968565174
N_Andes	-71.58100531	7.58231395
N_Andes	-71.99944414	7.678876756
N_Andes	-71.99944414	7.324813133
N_Andes	-71.93506893	6.938561909
N_Andes	-71.83850613	6.391372675
N_Andes	-72.19256975	5.586682624
N_Andes	-72.67538378	5.136056195
N_Andes	-73.0294474	4.749804971
